职位标题,职位链接
年薪100万，AI编译器工程师，2965,http://www.zhaopin.com/jobdetail/CCL1295664340J40783527216.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
AI产品经理,http://www.zhaopin.com/jobdetail/CCL1502317300J40851180413.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
五险一金+机器人AI数据采集+管三餐,http://www.zhaopin.com/jobdetail/CC629673980J40820144209.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
AI自动评估（六险双休）,http://www.zhaopin.com/jobdetail/CC385622410J40743685906.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
数据标注AI写作方向,http://www.zhaopin.com/jobdetail/CC443657520J40822457809.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
Golong开发+AI,http://www.zhaopin.com/jobdetail/CC840683300J40813219611.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
AI内容社群运营,http://www.zhaopin.com/jobdetail/CC383625320J40819835109.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
ai数据标注/评估,http://www.zhaopin.com/jobdetail/CCL1272782040J40823465414.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
AI数据标注-编译,http://www.zhaopin.com/jobdetail/CCL1500606270J40832924214.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
AI语音标注,http://www.zhaopin.com/jobdetail/CC385622410J40743663706.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
AI智能产品经理-财经,http://www.zhaopin.com/jobdetail/CC469217510J40816717201.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
美团闪购-AI应用产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40819848009.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
AI 智能体研发工程师,http://www.zhaopin.com/jobdetail/CC698750120J40831124914.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
国内专利工程师（AI/深度学习/图像处理相关）,http://www.zhaopin.com/jobdetail/CC586096120J40744732016.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
AI高级开发工程师,http://www.zhaopin.com/jobdetail/CC120702340J40832885314.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
人工智能AI应用负责人,http://www.zhaopin.com/jobdetail/CC153465920J40816338809.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
葡语ai翻译【头部大厂，全额五险一金】,http://www.zhaopin.com/jobdetail/CCL1254757260J40828994905.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
AI与前沿科技战略专家,http://www.zhaopin.com/jobdetail/CC383625320J40779492609.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
AI 预训练数据源扩展工程师-数据采集,http://www.zhaopin.com/jobdetail/CC637366030J40743188306.htm?refcode=4019&srccode=401903&preactionid=2480d5da-6267-48f0-a1a7-098f34e54f50
AI 预训练数据源扩展工程师-数据采集,http://www.zhaopin.com/jobdetail/CC637366030J40743188306.htm?refcode=4019&srccode=401903&preactionid=8eb6ab06-8c5e-4514-8b14-2b45868cbb51
AI搜索产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40811029509.htm?refcode=4019&srccode=401903&preactionid=8eb6ab06-8c5e-4514-8b14-2b45868cbb51
葡语ai翻译【头部大厂，全额五险一金】,http://www.zhaopin.com/jobdetail/CCL1254757260J40828994905.htm?refcode=4019&srccode=401903&preactionid=8eb6ab06-8c5e-4514-8b14-2b45868cbb51
AI图像算法工程师,http://www.zhaopin.com/jobdetail/CCL1242920560J40861671908.htm?refcode=4019&srccode=401903&preactionid=8eb6ab06-8c5e-4514-8b14-2b45868cbb51
AI产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40800938309.htm?refcode=4019&srccode=401903&preactionid=8eb6ab06-8c5e-4514-8b14-2b45868cbb51
Agent评测-大模型AI训练师,http://www.zhaopin.com/jobdetail/CCL1480117890J40826132705.htm?refcode=4019&srccode=401903&preactionid=8eb6ab06-8c5e-4514-8b14-2b45868cbb51
AI后端开发,http://www.zhaopin.com/jobdetail/CC138117190J40834056905.htm?refcode=4019&srccode=401903&preactionid=8eb6ab06-8c5e-4514-8b14-2b45868cbb51
餐饮商家AI产品,http://www.zhaopin.com/jobdetail/CC383625320J40820770909.htm?refcode=4019&srccode=401903&preactionid=8eb6ab06-8c5e-4514-8b14-2b45868cbb51
大模型AI训练师-通用英文,http://www.zhaopin.com/jobdetail/CCL1480117890J40813038105.htm?refcode=4019&srccode=401903&preactionid=8eb6ab06-8c5e-4514-8b14-2b45868cbb51
AI人工智能算法工程师,http://www.zhaopin.com/jobdetail/CC120543470J40821012215.htm?refcode=4019&srccode=401903&preactionid=8eb6ab06-8c5e-4514-8b14-2b45868cbb51
Java高级工程师(AI应用中间件方向),http://www.zhaopin.com/jobdetail/CC383625320J40812403409.htm?refcode=4019&srccode=401903&preactionid=8eb6ab06-8c5e-4514-8b14-2b45868cbb51
