职位标题,职位链接
"设计经理/主管（AI设计）
【
深圳-宝安区
】
急聘
10-20k
5年以上
本科",https://www.liepin.com/job/1978747195.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_78747195%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=0&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=0
"AI开发运维工程师 – IT 制造支持 (MJ012725)
【
上海-浦东新区
】
急聘
30-40k
5-10年
本科",https://www.liepin.com/job/1977539931.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_77539931%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=1&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=1
"灵智数科-AI产品经理（用工平台）
【
深圳-南山区
】
急聘
20-30k
3-5年
本科",https://www.liepin.com/job/1978141567.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_78141567%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=2&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=2
"AI产品经理/专家
【
深圳-宝安区
】
30-60k
3年以上
本科",https://www.liepin.com/job/1977343649.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_77343649%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=3&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=3
"IT Specialist - AI Engineering Project Lead
【
上海-长宁区
】
薪资面议
5-10年
统招本科",https://www.liepin.com/job/1977183161.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_77183161%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=4&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=4
"Senior/Principal AI Scientist (LM) - AIDD
【
上海-浦东新区
】
薪资面议
5-10年
博士",https://www.liepin.com/job/1976100565.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_76100565%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=5&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=5
"AI 产品经理
【
广州-海珠区
】
25-30k
5-10年
本科",https://www.liepin.com/job/1979212277.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79212277%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=6&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=6
"AI行业客户经理【职教大客户】
【
成都-金牛区
】
25-40k
3年以上
本科",https://www.liepin.com/job/1974033393.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_74033393%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=7&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=7
"AI产品经理
【
深圳-南山区
】
20-30k·16薪
5-10年
硕士",https://www.liepin.com/job/1979208611.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79208611%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=8&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=8
"高性能计算工程师（AI引擎）(J10030)
【
北京-海淀区
】
急聘
30-60k·15薪
2年以上
统招本科",https://www.liepin.com/job/1979006099.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79006099%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=9&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=9
"高级AI产品经理(J10098)
【
青岛-崂山区
】
35-50k
3-5年
本科",https://www.liepin.com/job/1979147851.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79147851%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=10&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=10
"中高级AI产品经理-F5914M
【
北京-通州区
】
25-45k·16薪
经验不限
学历不限",https://www.liepin.com/job/1979017417.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79017417%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=11&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=11
"AI业务负责人
【
北京-朝阳区
】
100-150k·14薪
5年以上
硕士",https://www.liepin.com/job/1974766431.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_74766431%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=12&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=12
"IT Specialist - AI Manufacturing & Ops Project Lead
【
上海-长宁区
】
薪资面议
5-10年
本科",https://www.liepin.com/job/1977187275.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_77187275%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=13&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=13
"AI大模型应用开发工程师
【
长沙-开福区
】
急聘
11-18k
1年以上
硕士",https://www.liepin.com/job/1979230207.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79230207%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=14&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=14
"AI技术架构高级经理
【
上海-徐汇区
】
薪资面议
5年以上
本科",https://www.liepin.com/job/1978076529.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_78076529%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=15&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=15
"AI产品经理
【
北京-西城区
】
20-30k·14薪
3-5年
统招本科",https://www.liepin.com/job/1975868407.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_75868407%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=16&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=16
"AI大模型产品经理
【
上海-青浦区
】
30-50k
5年以上
本科",https://www.liepin.com/job/1972156211.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_72156211%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=17&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=17
"资深技术专家(AI Agent平台)
【
杭州-余杭区
】
急聘
100-150k·15薪
5-10年
硕士",https://www.liepin.com/job/1979313861.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79313861%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=18&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=18
"AI工程师
【
北京-大兴区
】
急聘
26-35k
1-3年
硕士",https://www.liepin.com/job/1979039593.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79039593%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=20&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=20
"AI战略咨询合伙人
【
上海-杨浦区
】
50-80k
10年以上
统招本科",https://www.liepin.com/job/1977992593.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_77992593%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=21&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=21
"AI技术及应用（副）总监-医药(J24721)
【
上海-闵行区
】
40-55k·15薪
10年以上
本科",https://www.liepin.com/job/1979064989.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79064989%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=22&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=22
"边缘AI市场总监与生态合作专家
【
苏州-工业园区
】
23-40k·13薪
3-5年
本科",https://www.liepin.com/job/1979130009.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79130009%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=23&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=23
"Sr. AI Product Manager
【
上海-长宁区
】
80-100k
5-10年
本科",https://www.liepin.com/job/1978974087.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_78974087%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=24&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=24
"Data Science and AI Expert
【
上海-闵行区
】
25-35k·15薪
5-10年
本科",https://www.liepin.com/job/1978534167.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_78534167%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=25&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=25
"AI产品经理-北上广深均可
【
深圳-南山区
】
50-80k
3年以上
硕士",https://www.liepin.com/job/1973735575.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_73735575%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=26&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=26
"技术专家（AI方向）
【
广州-越秀区
】
50-80k
10年以上
硕士",https://www.liepin.com/job/1979003247.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79003247%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=27&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=27
"AI招聘产品经理
【
北京-朝阳区
】
35-65k
3年以上
本科",https://www.liepin.com/job/1978297477.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_78297477%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=28&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=28
"Assistant Manager AI & Data Analytics Engineer
【
北京-朝阳区
】
薪资面议
3-5年
统招本科",https://www.liepin.com/job/1979181845.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_79181845%3A1%3A1032b2bd-552a-47eb-be91-79b5d970c7c3&d_sfrom=search_prime&d_ckId=null&d_curPage=0&d_pageSize=40&d_headId=null&d_posi=29&skId=3lvla7aezrto1jdfjg1355djuktkl9db&fkId=3lvla7aezrto1jdfjg1355djuktkl9db&ckId=3lvla7aezrto1jdfjg1355djuktkl9db&sfrom=search_job_pc&curPage=0&pageSize=40&index=29
