职位标题,职位链接
数据标注AI写作方向,http://www.zhaopin.com/jobdetail/CC443657520J40822457809.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
Golong开发+AI,http://www.zhaopin.com/jobdetail/CC840683300J40813219611.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
ai数据标注/评估,http://www.zhaopin.com/jobdetail/CCL1272782040J40823465414.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
AI内容社群运营,http://www.zhaopin.com/jobdetail/CC383625320J40819835109.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
AI智能产品经理-财经,http://www.zhaopin.com/jobdetail/CC469217510J40816717201.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
AI大模型标注,http://www.zhaopin.com/jobdetail/CCL1272782040J40794580214.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
美团闪购-AI应用产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40819848009.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
AI 智能体研发工程师,http://www.zhaopin.com/jobdetail/CC698750120J40831124914.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
AI数据标注-编译,http://www.zhaopin.com/jobdetail/CCL1500606270J40832924214.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
国内专利工程师（AI/深度学习/图像处理相关）,http://www.zhaopin.com/jobdetail/CC586096120J40744732016.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
AI语音标注,http://www.zhaopin.com/jobdetail/CC385622410J40743663706.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
AI高级开发工程师,http://www.zhaopin.com/jobdetail/CC120702340J40832885314.htm?refcode=4019&srccode=401903&preactionid=2db7fa88-438c-4223-bc18-42c6a08a9915
